"スキル項目コード","専門分野コード"
"S110060020","HU-040-010"
"S110060020","HU-050-010"
"S110060020","HU-090-010"
"S110060020","HU-110-010"
"S110060020","HS-010-010"
"S110060020","HS-020-010"
"S110060020","HS-030-020"
"S110060020","HS-050-010"
"S110060020","HS-060-010"
"S110060020","HF-010-010"
"S110060020","HF-010-030"
"S110060020","HF-010-040"
"S110060020","HF-020-010"
"S110060020","HF-020-020"
"S110060020","HF-030-010"
"S110060020","HF-030-020"
"S110060020","HF-030-040"
"S110060020","HF-040-010"
"S110060020","HF-040-020"
"S110060020","HN-010-010"
"S110060020","HN-010-020"
"S110060020","HN-010-030"
"S110060020","HN-030-010"
"S110060020","HP-010-010"
"S110060020","HP-010-020"
"S110060020","HP-010-030"
"S110060020","HP-010-050"
"S110060020","HP-010-130"
"S110060030","HI-020-010"
"S110060030","HI-030-010"
"S110060030","HI-040-010"
"S110060030","HI-090-010"
"S110060030","HI-090-030"
"S110060030","HU-020-010"
"S110060030","HE-050-010"
"S110060030","HS-010-010"
"S110060030","HS-030-020"
"S110060030","HS-060-010"
"S110060030","HF-010-010"
"S110060030","HF-010-030"
"S110060030","HF-020-010"
"S110060030","HF-020-020"
"S110060030","HF-030-010"
"S110060030","HF-030-020"
"S110060030","HF-040-010"
"S110060030","HN-010-010"
"S110060030","HN-010-020"
"S110060030","HN-010-030"
"S110060030","HN-030-010"
"S110060030","HP-010-010"
"S110060030","HP-010-020"
"S110060030","HP-010-030"
"S110060030","HP-010-050"
"S110060030","HP-010-130"
"S110060040","HI-020-010"
"S110060040","HI-030-010"
"S110060040","HI-040-010"
"S110060040","HI-090-010"
"S110060040","HI-090-020"
"S110060040","HI-090-030"
"S110060040","HI-100-010"
"S110060040","HU-020-010"
"S110060040","HU-040-010"
"S110060040","HU-090-010"
"S110060040","HE-050-010"
"S110060040","HS-010-010"
"S110060040","HS-030-020"
"S110060040","HS-060-010"
"S110060040","HF-010-010"
"S110060040","HF-010-030"
"S110060040","HF-020-010"
"S110060040","HF-020-020"
"S110060040","HF-030-010"
"S110060040","HF-030-020"
"S110060040","HF-030-040"
"S110060040","HF-040-010"
"S110060040","HF-040-020"
"S110060040","HN-010-010"
"S110060040","HN-010-020"
"S110060040","HN-010-030"
"S110060040","HP-010-010"
"S110060040","HP-010-020"
"S110060040","HP-010-030"
"S110060040","HP-010-050"
"S110060040","HP-010-130"
"S110060050","HI-020-010"
"S110060050","HI-030-010"
"S110060050","HI-040-010"
"S110060050","HI-090-010"
"S110060050","HI-090-030"
"S110060050","HU-020-010"
"S110060050","HU-040-010"
"S110060050","HS-010-010"
"S110060050","HS-030-020"
"S110060050","HS-060-010"
"S110060050","HF-010-010"
"S110060050","HF-010-030"
"S110060050","HF-020-010"
"S110060050","HF-020-020"
"S110060050","HF-030-010"
"S110060050","HF-030-020"
"S110060050","HF-040-010"
"S110060050","HN-010-010"
"S110060050","HN-010-020"
"S110060050","HN-010-030"
"S110060050","HP-010-010"
"S110060050","HP-010-020"
"S110060050","HP-010-030"
"S110060050","HP-010-050"
"S110060050","HP-010-130"
"S110060060","HI-020-010"
"S110060060","HI-030-010"
"S110060060","HI-040-010"
"S110060060","HI-090-010"
"S110060060","HI-090-030"
"S110060060","HU-020-010"
"S110060060","HS-010-010"
"S110060060","HS-030-020"
"S110060060","HS-060-010"
"S110060060","HF-010-010"
"S110060060","HF-010-030"
"S110060060","HF-020-010"
"S110060060","HF-020-020"
"S110060060","HF-030-010"
"S110060060","HF-030-020"
"S110060060","HF-040-010"
"S110060060","HN-010-010"
"S110060060","HN-010-020"
"S110060060","HN-010-030"
"S110060060","HP-010-010"
"S110060060","HP-010-020"
"S110060060","HP-010-030"
"S110060060","HP-010-050"
